LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,SalePrice
9819,1967,882,900,900,122000
8730,1915,698,698,1396,153575
15611,2006,1079,1079,1919,233230
5687,1912,780,936,1716,135900
11409,1949,768,1148,1716,131000
16659,1977,795,1468,2263,235000
9600,1953,1416,1644,1644,167000
7937,1984,1003,1003,1003,142500
13710,1950,910,910,1558,152000
7399,1997,975,975,1950,239000
11700,1968,702,1041,1743,175000
14000,1950,1092,1152,1152,158500
15750,1953,1165,1336,1336,157000
16226,1998,1028,1210,2452,267000
13704,2001,1541,1541,1541,205000
9800,1972,894,894,894,149900
10386,2004,2000,2000,2000,305900
13474,1990,700,1122,2243,225000
7920,1920,319,1035,1406,89500
12342,1940,861,861,861,82500
12378,2003,1896,1944,1944,360000
7685,1993,697,697,1501,165600
8000,1948,972,972,972,132000
7800,1939,793,793,1118,119900
9600,1925,728,832,1641,178000
7795,2004,716,716,1432,188500
13005,1980,845,1153,2353,260000
9000,2006,1088,1088,1959,270000
9900,1993,1347,1372,2646,260000
14115,1980,1372,1472,1472,187500
16259,2006,1249,1249,2596,342643
12099,2004,1136,1136,2468,354000
10380,1986,1502,1553,2730,301000
5820,1955,1162,1163,1163,126175
11275,1967,710,1898,2978,242000
5000,1941,720,803,803,87000
10846,1993,1719,1719,1719,324000
11600,1960,1383,1383,1383,145250
11888,1916,844,1445,2134,214500
6402,1920,596,596,1192,78000
10624,1964,1728,1728,1728,119000
8176,1958,1056,1056,1056,139000
10655,2003,3206,1629,1629,284000
8198,2004,1358,1358,1358,207000
9042,1998,943,943,1638,192000
14157,2005,1922,1922,1922,377426
9135,2002,1536,1536,1536,214000
14145,1984,1208,1621,1621,202500
12400,1958,1215,1215,1215,155000
14191,2002,967,993,1908,202900
8400,1950,721,841,841,82000
8544,1949,0,1040,1040,87500
8849,2005,1684,1684,1684,266000
2592,1976,536,536,1112,85000
6435,1939,972,972,1577,140200
12772,1960,958,958,958,151500
17600,1960,1478,1478,1478,157500
2448,2003,764,764,1626,154000
20431,2005,1848,1848,2728,437154
7820,2007,1869,1869,1869,318061
5271,1986,1453,1453,1453,190000
9084,1941,616,616,1111,95000
8520,1928,624,720,720,105900
8400,1940,940,1192,1595,140000
11249,1995,1200,1200,1200,177500
9248,1992,1158,1167,1167,173000
4224,1976,1142,1142,1142,134000
6930,1958,1062,1352,1352,130000
12011,1998,1086,1086,1924,280000
7540,1978,888,912,912,156000
9144,1940,883,988,1505,145000
7301,2003,0,495,1922,198500
1680,1972,483,483,987,118000
18800,1976,796,790,1574,190000
10690,1920,672,672,1344,147000
9500,1963,1394,1394,1394,159000
9150,1962,1099,1431,1431,165000
7800,1954,1268,1268,1268,132000
9830,1959,1063,1287,1287,162000
8121,2000,953,953,1664,172400
17120,1959,0,1120,1588,134432
7175,1984,744,752,752,125000
10634,1953,608,1319,1319,123000
8200,2003,847,847,1928,219500
10020,1922,683,904,904,61000
8846,1996,870,914,914,148000
11143,2004,1580,1580,2466,340000
11394,2010,1856,1856,1856,394432
8123,2000,982,1007,1800,179000
5000,1924,1026,1026,1691,127000
7200,2006,1293,1301,1301,187750
9245,2006,939,939,1797,213500
9000,1928,784,784,784,76000
53107,1992,1580,1079,1953,240000
3182,2004,1256,1269,1269,192000
8410,1910,658,658,1184,81000
7200,1976,1041,1125,1125,125000
9382,1999,1468,1479,1479,191000
12474,2007,1682,1742,2332,426000
12209,2001,804,804,1961,215000
8339,1959,0,882,882,106500
7446,1941,788,788,788,100000
10134,1940,735,735,1034,109000
9571,1956,1144,1144,1144,129000
7200,1972,894,894,894,123000
7590,1962,864,876,1812,169500
8967,1920,961,1077,1077,67000
8125,2006,1092,1112,1550,241000
14963,1996,1260,1288,1288,245500
8767,2005,1310,1310,1310,164990
10200,1940,672,672,672,108000
12090,1998,1141,1165,2263,258000
10364,1995,806,806,1572,168000
9991,1976,1281,1620,1620,150000
10480,1936,1064,1166,1639,115000
15576,1915,840,840,1680,177000
14154,2006,1063,1071,2172,280000
10800,2007,1034,1050,2078,339750
9571,1958,1276,1276,1276,60000
34650,1955,1056,1056,1056,145000
4403,2009,1470,1478,1478,222000
8960,1927,1008,1028,1028,115000
11228,1993,1080,1080,2097,228000
8899,2007,1340,1340,1340,181134
7844,1978,672,672,1400,149500
22420,1918,1370,1370,2624,239000
8160,1940,756,756,1134,126000
8450,1968,1056,1056,1056,142000
7060,1997,1344,1344,1344,206300
16635,1977,1602,1602,1602,215000
21750,1954,988,988,988,113000
9200,1998,1470,1470,2630,315000
9000,1956,1196,1196,1196,139000
3378,1946,651,707,1389,135000
12800,1989,1518,1644,1644,275000
8593,1957,907,907,907,109008
6762,2007,1208,1208,1208,195400
11457,1988,1392,1412,1412,175000
1680,1971,483,483,987,85400
5586,1920,901,1088,1198,79900
1920,1971,765,765,1365,122500
10839,1997,926,926,1604,181000
1890,1972,630,630,630,81000
10667,1996,799,827,1661,212000
4400,1920,648,734,1118,116000
6000,1926,884,904,904,119000
4280,1913,440,694,694,90350
12354,1920,684,684,1196,110000
15431,2008,3094,2402,2402,555000
12108,1955,1440,1440,1440,118000
6240,1930,1078,1128,1573,162900
3922,2006,1258,1258,1258,172500
8750,1994,915,933,1908,210000
9855,1956,1436,1689,1689,127500
16492,1966,1517,1888,1888,190000
11214,1998,930,956,1886,199900
8600,1937,780,780,1376,119500
6000,1948,649,679,1183,120000
5684,1930,813,813,813,110000
70761,1975,1533,1533,1533,280000
9303,1996,872,888,1756,204000
9000,2008,768,786,1590,210000
9297,1976,1728,1728,1728,188000
9600,1973,1242,1242,1242,175500
4571,1916,624,624,1344,98000
53227,1954,1364,1663,1663,256000
5100,1925,588,833,1666,161000
7015,1950,709,979,1203,110000
8004,2009,832,832,1935,263435
7200,1936,560,575,1135,155000
8281,1965,864,864,864,62383
11988,1934,715,849,1660,188700
8430,1978,1040,1040,1040,124000
3072,2004,1375,1414,1414,178740
10628,1970,1277,1277,1277,167000
9480,1942,728,888,1644,146500
11428,2006,1626,1634,1634,250000
9291,1993,832,832,1710,187000
6820,1985,1488,1502,1502,212000
11952,1977,808,1161,1969,190000
3675,2005,547,1072,1072,148000
14977,2006,1976,1976,1976,440000
5330,2000,1494,1652,1652,251000
8480,1963,970,970,970,132500
13125,1997,1478,1493,1493,208900
13693,2006,2153,2069,2643,380000
10637,2007,1705,1718,1718,297000
5925,1937,907,1131,1131,89471
16033,2004,1833,1850,1850,326000
11846,2003,1792,1792,1792,374000
2500,1915,910,916,1826,155000
4500,1998,1216,1216,1216,164000
7758,1962,999,999,999,132500
9600,1950,1113,1113,1113,147000
10289,1965,1073,1073,1073,156000
12243,1971,1484,1484,1484,175000
1526,1970,630,630,630,86000
2665,1976,264,616,1304,115000
9490,1941,806,958,1578,133000
15578,2006,728,728,1456,172785
7931,1960,1269,1269,1269,155000
5784,1938,190,886,886,91300
7879,1920,720,720,720,34900
12692,1992,3200,3228,3228,430000
9120,1925,1026,1133,1820,184000
7800,1967,864,899,899,130000
7535,1958,912,912,912,120000
1890,1973,672,672,1218,113000
9803,2005,866,866,1768,226700
9170,1965,1214,1214,1214,140000
15602,1959,1501,1801,1801,289000
2308,1974,855,855,1322,147000
7596,1952,960,960,1960,124500
9554,1993,777,1065,1911,215000
7862,2009,1218,1218,1218,208300
9600,1928,689,689,1378,161000
9600,1959,1041,1041,1041,124500
14559,1951,1008,1363,1363,164900
6792,2005,1368,1368,1368,202665
9100,1958,864,864,864,129900
9187,1983,1084,1080,1080,134000
10594,1926,768,789,789,96500
12220,2009,2006,2020,2020,402861
10448,1972,689,1378,2119,158000
10208,1996,1264,1277,2344,265000
9531,1998,794,882,1796,211000
10918,1926,1276,1276,2080,234000
11988,1957,1244,1244,1244,150000
5000,1947,1004,1004,1664,159000
11787,1996,1379,1383,2398,315750
7500,2005,1257,1266,1266,176000
13300,1956,928,928,928,132000
14948,2008,1452,1476,2713,446261
9098,1920,528,605,605,86000
32668,1957,2035,2515,2515,200624
10200,1988,1461,1509,1509,175000
6155,1920,611,751,1362,128000
7200,1955,0,827,827,107500
5000,1946,0,334,334,39300
9056,2004,707,707,1414,178000
7000,1910,1117,820,1347,107500
8924,1998,880,880,1724,188000
12735,1972,864,864,864,111250
11553,1968,1051,1159,1159,158000
11423,2001,1581,1601,1601,272000
14601,2006,1838,1838,1838,315000
11000,2000,969,997,2285,248000
10140,1998,1650,1680,1680,213250
4058,1998,723,767,767,133000
17104,2006,654,664,1496,179665
13837,1988,1204,1377,2183,229000
8737,1923,1065,915,1635,210000
7244,1970,768,768,768,129500
8235,1955,825,825,825,125000
9375,2003,912,912,2094,263000
4043,1977,1069,1069,1069,140000
6000,1957,928,928,928,112500
11146,2006,1709,1717,1717,255500
8777,1949,0,1126,1126,108000
10625,2003,998,1006,2046,284000
6380,1922,993,1048,1048,113000
14850,1957,1092,1092,1092,141000
11040,1920,637,897,1336,108000
21872,1996,729,729,1446,175000
3196,2003,1374,1557,1557,234000
11341,1957,1392,1392,1392,121500
10010,1974,1389,1389,1389,170000
13907,1940,996,996,996,108000
21780,1918,1163,1163,1674,185000
13346,1992,1095,1166,2295,268000
6858,1915,806,841,1647,128000
11198,2005,1122,1134,2504,325000
10171,2004,1517,1535,1535,214000
12327,1983,1496,1496,2132,316600
7032,1979,943,943,943,135960
13101,1965,1728,1728,1728,142600
7332,1959,864,864,864,120000
13159,2009,846,846,1692,224500
9967,2000,384,774,1430,170000
10500,1971,372,576,1109,139000
8480,1947,832,832,1216,118500
6292,1928,861,877,1477,145000
11777,1966,1164,1320,1320,164500
3604,2007,689,703,1392,146000
12150,1954,1050,1050,1795,131500
14585,1960,1144,1429,1429,181900
12704,2008,2042,2042,2042,253293
11841,1990,816,816,816,118500
6120,1935,884,989,1573,133000
11443,2005,1868,2028,2028,369900
10267,1918,816,838,838,130000
8740,1982,840,860,860,137000
25095,1968,1437,1473,1473,143000
9100,1930,742,779,935,79500
8320,2004,770,770,1582,185900
13478,2008,1722,1728,2296,451950
6600,1982,816,816,816,138000
4435,2003,848,848,848,140000
7990,1975,924,924,924,110000
11302,2005,1814,1826,1826,319000
3600,1910,684,684,1368,114504
3922,2006,1258,1402,1402,194201
12984,1977,1430,1647,1647,217500
1950,1980,716,716,1556,151000
10927,2005,1058,1058,1904,275000
9000,1937,780,780,1375,141000
10041,1992,908,927,1915,220000
3182,2004,600,600,1200,151000
12803,2002,1494,1494,1494,221000
13600,1965,768,1186,1986,205000
12464,1996,1040,1040,1040,152000
7800,1948,896,1112,2008,225000
12168,1934,965,1940,3194,359100
7943,1961,1029,1029,1029,118500
11050,2000,1440,1476,2153,313000
10395,1978,1032,1032,1032,148000
11885,2001,1299,1299,1872,261500
8402,2007,1120,1120,1120,147000
1491,1972,630,630,630,75500
8800,1963,936,1054,1054,137500
7861,2002,783,807,1509,183200
7227,1954,832,832,832,105500
11694,2007,1822,1828,1828,314813
12244,2003,1482,1482,2262,305000
8248,1914,864,864,864,67000
10800,1974,1522,1548,2614,240000
7064,1977,980,980,980,135000
2117,2000,756,756,1512,168500
10400,1972,732,1012,1790,165150
10000,1962,1116,1116,1116,160000
12342,1960,978,1422,1422,139900
9600,1955,1156,1520,1520,153000
11606,1969,1040,1040,2080,135000
9020,1964,1248,1350,1350,168500
4590,2006,1554,1554,1554,209500
11900,1977,1386,1411,1411,82500
9250,1954,1056,1056,1056,139400
6979,1980,1056,1056,1056,144000
10896,1914,1440,1440,3395,200000
6120,1936,264,800,800,60000
6000,1954,811,811,1387,93000
8777,1910,796,796,796,85000
3982,2006,1520,1567,1567,264561
12677,2003,1518,1518,1518,274000
7050,2001,1057,1057,1929,226000
13860,1972,1952,2000,2704,345000
10793,1969,780,780,1620,152000
9187,2009,1766,1766,1766,370878
10530,1971,981,981,981,143250
7200,1950,0,1048,1048,98300
10452,1953,1094,1094,1094,155000
7700,1966,756,1051,1839,155000
1936,1970,630,630,630,84500
8125,2007,813,822,1665,205950
9084,1940,755,755,1510,108000
8750,1996,880,909,1716,191000
10320,1906,756,756,1469,135000
10437,1995,2109,2113,2113,350000
1680,1971,525,525,1092,88000
10007,1959,1053,1053,1053,145500
7200,1931,776,851,1502,149000
17503,1948,912,912,1458,97500
9937,1964,1486,1486,1486,167000
12384,1976,793,1142,1935,197900
46589,1994,1629,1686,2448,402000
13560,1968,1392,1392,1392,110000
10012,1972,1138,1181,1181,137500
20896,2005,2077,2097,2097,423000
11194,2000,1406,1454,1936,230500
18450,1965,1021,1465,2380,129000
8125,1994,1408,1679,1679,193500
14175,1956,1188,1437,1437,168000
11600,1922,700,1180,1180,137500
8633,2005,738,738,1476,173500
6629,1925,672,697,1369,103600
11250,1977,1208,1208,1208,165000
14442,1957,1477,1839,1839,257500
9200,1965,1136,1136,1136,140000
2289,1978,855,855,1441,148500
9022,1924,768,792,792,109500
11844,2008,2046,2046,2046,372500
9945,1961,988,988,988,128500
8012,1980,923,923,923,143000
4500,1932,793,848,1520,159434
2887,1996,1291,1291,1291,173000
11248,2002,1626,1668,1668,285000
16770,1998,1195,1195,1839,221000
5062,1984,1190,1190,2090,207500
10207,2007,874,874,1761,227875
5105,2004,551,551,1102,148800
8089,2007,1419,1419,1419,392000
7577,2005,1362,1362,1362,194700
4426,2004,848,848,848,141000
26178,1989,1210,1238,2519,335000
5400,1921,1073,1073,1073,108480
6120,1936,927,1067,1539,141500
13811,1987,1112,1137,1137,176000
6000,1921,616,616,616,89000
6420,1952,980,1148,1148,123500
8450,1965,894,894,894,138500
4282,2004,1391,1391,1391,196000
14331,2002,1800,1800,1800,312500
9600,1969,1164,1164,1164,140000
12438,2006,1234,1264,2576,361919
8400,2004,1473,1484,1484,213000
5600,1930,0,372,1092,55000
6240,2006,1324,1324,1324,254000
9018,2007,728,728,1456,179540
7162,1966,876,904,904,109900
4130,1935,270,729,729,52000
4671,1988,1228,1228,1228,189000
9873,1970,960,960,960,129000
13517,1976,725,725,1479,130500
10140,1974,1064,1350,1350,165000
10000,1973,1176,1178,1178,157000
10542,1993,1311,1325,2418,341000
9920,1969,971,971,971,128500
6563,1985,1742,1742,1742,275000
4426,2004,848,848,848,143000
8120,1970,864,864,864,124500
8172,1954,941,997,1470,135000
13286,2007,1698,1698,1698,320000
6960,1970,864,864,864,120500
21695,1988,880,1680,1680,222000
7314,2007,1232,1232,1232,194500
11475,1958,1584,1776,1776,110000
6240,1925,780,848,1208,103000
5389,1995,1595,1616,1616,236500
9590,2003,868,1146,1146,187500
11404,1998,1153,1153,2031,222500
10000,1961,864,1144,1144,131400
8978,1968,948,948,948,108000
10800,1914,880,880,1768,163000
8544,1950,0,1040,1040,93500
10463,2005,893,901,1801,239900
10800,1987,1200,1200,1200,179000
9313,2004,864,864,1728,190000
9600,1910,264,768,1432,132000
6768,1961,912,912,912,142000
8450,2000,1349,1349,1349,179000
12886,1963,520,1464,1464,175000
5395,1993,1337,1337,1337,180000
8963,1976,1142,1175,2715,299800
8795,2000,952,980,2256,236000
10593,1996,1720,1720,1720,260400
8405,1945,0,1088,1529,98000
8800,1910,576,792,1140,96500
7750,2003,660,660,1320,162000
9236,1997,1479,1494,1494,217000
10240,2005,1030,1038,2098,275500
7930,1969,1026,1026,1026,156000
3230,1999,729,742,1471,172500
10769,2007,866,866,1768,212000
11616,1978,672,672,1386,158900
2280,1999,744,757,1501,179400
12257,1995,1318,1328,2531,290000
9100,1959,864,864,864,127500
6911,1924,1145,1301,1301,100000
8640,2009,756,764,1547,215200
9430,1999,1252,1268,2365,337000
9549,1995,1494,1494,1494,270000
14587,2008,1498,1506,1506,264132
10421,1988,980,980,1714,196500
12508,1940,983,983,1750,160000
9100,2004,1860,1836,1836,216837
53504,2003,1650,1690,3279,538000
7252,1982,858,858,858,134900
8877,1951,836,1220,1220,102000
7819,1976,1029,1117,1117,107000
10150,1958,912,912,912,114500
14226,2006,1935,1973,1973,395000
4500,1998,1204,1204,1204,162000
11210,2005,1614,1614,1614,221500
13350,1974,864,894,894,142500
8400,1977,0,2020,2020,144000
10530,1977,975,1004,1004,135000
7875,1995,1237,1253,1253,176000
7153,1992,761,810,1603,175900
16285,2001,1413,1430,1430,187100
9101,1978,1097,1110,1110,165500
6300,1914,742,742,1484,128000
9790,1967,1372,1342,1342,161500
10800,1915,686,966,1652,139000
10142,2004,956,956,2084,233000
6000,1954,901,901,901,107900
12205,1966,832,976,2087,187500
3182,2005,1145,1145,1145,160200
11333,1976,1029,1062,1062,146800
9920,1996,1117,1127,2013,269790
9158,2007,1496,1496,1496,225000
10832,1994,712,1086,1895,194500
8400,1980,650,888,1564,171000
8197,1977,660,1285,1285,143500
7677,1953,773,773,773,110000
13518,2008,1926,1966,3140,485000
7200,1937,731,981,1768,175000
12798,1997,616,616,1688,200000
4800,1916,1196,1196,1196,109900
8199,2005,728,728,1456,189000
13891,2008,1734,1734,2822,582933
9000,1954,936,1128,1128,118000
12274,2008,1417,1428,1428,227680
9750,1967,980,980,980,135500
21384,1923,1324,1072,1576,223500
13400,1966,1024,1086,1086,159950
10140,1974,1040,1309,1309,181000
4438,2004,848,848,848,144500
8712,1952,540,1044,1044,55993
9750,1958,1442,1442,1442,157900
8248,1918,686,686,1250,116000
12137,1998,1649,1661,1661,224900
11425,1954,1008,1008,1008,137000
13265,2002,1568,1689,1689,271000
8816,1971,1010,1052,1052,155000
6371,2009,1358,1358,1358,224000
7226,2003,798,798,1640,183000
6000,1953,936,936,936,93000
12394,2003,847,847,1733,225000
9900,1940,778,944,1489,139500
11216,2006,1489,1489,1489,232600
14803,2007,2078,2084,2084,385000
6130,1924,784,784,784,109500
8529,2001,1454,1434,1434,189000
28698,1967,1013,1160,2126,185000
2544,2005,600,520,1223,147400
11900,1957,1392,1392,1392,166000
3180,2005,600,520,1200,151000
9548,2003,941,941,1829,237000
10004,1964,1516,1516,1516,167000
7875,1961,1144,1144,1144,139950
9600,1950,1067,1067,1067,128000
8100,1948,1559,1559,1559,153500
1680,1973,483,483,987,100000
9525,1995,1099,1099,1099,144000
11767,1946,768,768,1200,130500
12155,1925,672,810,1482,140000
10440,1904,650,958,1539,157500
